2017-06-06 12:09:20,709 [Worker-330] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:09:20,711 [Worker-330] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:50:03,752 [Worker-352] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:50:03,760 [Worker-352] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:50:03,763 [Worker-352] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:50:03,766 [Worker-352] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:51:54,053 [Worker-356] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:51:54,056 [Worker-356] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:51:54,058 [Worker-356] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:51:54,060 [Worker-356] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:52:08,693 [Worker-348] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:52:08,696 [Worker-348] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:52:08,698 [Worker-348] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:52:08,700 [Worker-348] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:52:36,909 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:52:36,911 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:52:36,913 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:52:36,914 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:53:16,201 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:53:16,203 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:53:16,205 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:53:16,207 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:54:15,057 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:54:15,060 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:54:15,062 [Worker-353] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:54:15,064 [Worker-353] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:54:21,871 [Worker-356] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:54:21,874 [Worker-356] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:54:21,876 [Worker-356] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:54:21,878 [Worker-356] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
